speaker,time,row_index
CA1HA_87,323.3122,305
CA1HA_87,323.3322,306
CA1HA_87,323.3622,307
CA1HA_87,323.3922,308
CA1HA_87,323.4122,309
CA1HA_87,323.4222,310
CA1HA_87,323.4322,311
CA1HA_87,323.4522,312
CA1HA_87,323.4822,313
CA1HA_87,323.5022,314
CA1HA_87,323.5272,315
CA1HA_87,323.5772,316
CA1HA_87,323.6172,317
CA1HA_87,323.6422,318
CA1HA_87,323.6722,319
CA1HA_87,323.7022,320
CA1HA_87,323.7222,321
CA1HA_87,323.7422,322
CA1HA_87,323.7722,323
CA1HA_87,323.7922,324
CA1HA_87,323.8122,325
CA1HA_87,323.8422,326
CA1HA_87,323.8722,327
CA1HA_87,323.9022,328
CA1HA_87,323.9322,329
CA1HA_87,323.9622,330
CA1HA_87,323.9922,331
CA1HA_87,324.0272,332
CA1HA_87,324.0722,333
CA1HA_87,324.1222,334
CA1HA_87,324.1622,335
CA1HA_87,324.1922,336
CA1HA_87,324.2222,337
CA1HA_87,324.2722,338
CA1HA_87,324.3372,339
CA1HA_87,324.4172,340
CA1HA_87,324.4922,341
CA1HA_87,324.5422,342
CA1HA_87,324.5822,343
CA1HA_87,325.0222,344
CA1HA_87,325.0772,345
CA1HA_87,325.1272,346
CA1HA_87,325.1722,347
CA1HA_87,325.2172,348
CA1HA_87,325.2872,349
CA1HA_87,325.3472,350
CA1HA_87,325.3772,351
CA1HA_87,325.4072,352
CA1HA_87,325.4272,353
CA1HA_87,325.4522,354
CA1HA_87,325.4922,355
CA1HA_87,325.5372,356
CA1HA_87,325.6222,357
CA1HA_87,325.7122,358
CA1HA_87,325.7622,359
CA1HA_87,325.7972,360
CA1HA_87,325.8322,361
CA1HA_87,325.8822,362
CA1HA_87,325.9572,363
CA1HA_87,326.0072,364
CA1HA_87,326.0422,365
CA1HA_87,326.0872,366
CA1HA_87,326.1172,367
CA1HA_87,326.1472,368
CA1HA_87,326.1772,369
CA1HA_87,326.2072,370
CA1HA_87,326.2622,371
CA1HA_87,326.3172,372
CA1HA_87,326.3372,373
CA1HA_87,326.3572,374
CA1HA_87,326.3922,375
CA1HA_87,326.4272,376
CA1HA_87,326.4672,377
CA1HA_87,326.5072,378
CA1HA_87,326.5672,379
CA1HA_87,326.6522,380
CA1HA_87,326.7922,381
CA1HA_87,327.4564,382
CA1HA_87,327.5464,383
CA1HA_87,327.6314,384
CA1HA_87,327.7314,385
CA1HA_87,327.7964,386
CA1HA_87,327.8314,387
CA1HA_87,327.8764,388
CA1HA_87,327.9264,389
CA1HA_87,327.9614,390
CA1HA_87,327.9914,391
CA1HA_87,328.0364,392
CA1HA_87,328.0864,393
CA1HA_87,328.1664,394
CA1HA_87,328.2414,395
CA1HA_87,328.2714,396
CA1HA_87,328.3114,397
CA1HA_87,328.3614,398
CA1HA_87,328.4114,399
CA1HA_87,328.4764,400
CA1HA_87,328.5364,401
CA1HA_87,328.6264,402
CA1HA_87,328.7914,403
CA1HA_87,329.8093,404
CA1HA_87,331.6205,405
CA1HA_87,331.6705,406
CA1HA_87,331.7305,407
CA1HA_87,331.7805,408
CA1HA_87,331.8305,409
