speaker,previous,segment,following,onset,offset,dur,previousWord,word,followingWord,wordOnset,wordOffset,wordDur,previousText,text,followingText,textOnset,textOffset,textDur,position,wordposition,segments,previous_segs,following_segs,type,prevManner,manner,follManner,prevMannerMaj,mannerMaj,follMannerMaj,prevPlaceMaj,placeMaj,follPlaceMaj,prevVoicing,voicing,follVoicing,mid,wordMid
CA1HA_87,o,d̪,e,301.98,302.11,0.12999999999999545,técnico,de,además,301.98,302.18,0.19999999999998863,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,d̪,o,e,numeric,vowel,numeric,vowel,vowel,numeric,vowel,vowel,numeric,vowel,voiced,numeric,voiced,302.045,302.08000000000004
CA1HA_87,d̪,e,l,302.11,302.18,0.06999999999999318,técnico,de,además,301.98,302.18,0.19999999999998863,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,e,d̪,l,vowel,numeric,vowel,liquid,numeric,vowel,sonorant,numeric,vowel,coronal,numeric,voiced,voiced,302.145,302.08000000000004
CA1HA_87,e,l,a,302.18,302.25,0.06999999999999318,de,la,además,302.18,302.3,0.12000000000000455,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,l,e,a,semivowel,vowel,liquid,vowel,vowel,sonorant,vowel,vowel,coronal,vowel,voiced,voiced,voiced,302.21500000000003,302.24
CA1HA_87,l,a,u,302.25,302.3,0.05000000000001137,de,la,además,302.18,302.3,0.12000000000000455,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,a,l,u,vowel,liquid,vowel,vowel,sonorant,vowel,vowel,coronal,vowel,vowel,voiced,voiced,voiced,302.275,302.24
CA1HA_87,a,u,n,302.3,302.34,0.03999999999996362,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,u,a,n,vowel,vowel,vowel,nasal,vowel,vowel,sonorant,vowel,vowel,coronal,voiced,voiced,voiced,302.32,302.66499999999996
CA1HA_87,u,n,i,302.34,302.38,0.040000000000020464,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,n,u,i,semivowel,vowel,nasal,vowel,vowel,sonorant,vowel,vowel,coronal,vowel,voiced,voiced,voiced,302.36,302.66499999999996
CA1HA_87,n,i,β,302.38,302.44,0.060000000000002274,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,i,n,β,vowel,nasal,vowel,numeric,sonorant,vowel,numeric,coronal,vowel,numeric,voiced,voiced,numeric,302.40999999999997,302.66499999999996
CA1HA_87,i,β,e,302.44,302.5,0.060000000000002274,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,β,i,e,numeric,vowel,numeric,vowel,vowel,numeric,vowel,vowel,numeric,vowel,voiced,numeric,voiced,302.47,302.66499999999996
CA1HA_87,β,e,r,302.5,302.54,0.040000000000020464,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,e,β,r,vowel,numeric,vowel,liquid,numeric,vowel,sonorant,numeric,vowel,coronal,numeric,voiced,voiced,302.52,302.66499999999996
CA1HA_87,e,r,s,302.54,302.57,0.029999999999972715,la,universidad,además,302.3,303.03,0.7299999999999613,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,r,e,s,semivowel,vowel,liquid,fricative,vowel,sonorant,obstruent,vowel,coronal,coronal,voiced,voiced,voiceless,302.555,302.66499999999996
