speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue
CA1HA_87,354.9204,697,0,0,0,0,0
CA1HA_87,355.0004,698,0,0,0,0,0
CA1HA_87,355.0804,699,0,0,0,0,0
CA1HA_87,355.1404,700,0,0,0,0,0
CA1HA_87,355.17539999999997,701,0,0,0,0,0
CA1HA_87,359.09159999999997,702,0,0,0,0,0
CA1HA_87,359.13660000000004,703,0,0,0,0,0
CA1HA_87,359.2116,704,0,0,0,0,0
CA1HA_87,359.27660000000003,705,0,0,0,0,0
CA1HA_87,359.3666,706,0,0,0,0,0
CA1HA_87,359.52160000000003,707,0,0,0,0,0
CA1HA_87,359.64660000000003,708,0,0,0,0,0
CA1HA_87,359.73159999999996,709,0,0,0,0,0
CA1HA_87,359.8216,710,0,0,0,0,0
CA1HA_87,359.89660000000003,711,0,0,0,0,0
CA1HA_87,359.9866,712,0,0,0,0,0
CA1HA_87,360.0566,713,0,0,0,0,0
CA1HA_87,360.1266,714,0,0,0,0,0
CA1HA_87,361.0864,715,0,0,0,0,0
CA1HA_87,361.1314,716,0,0,0,0,0
CA1HA_87,361.1614,717,0,0,0,0,0
CA1HA_87,361.1914,718,0,0,0,0,0
CA1HA_87,361.2314,719,0,0,0,0,0
CA1HA_87,361.2614,720,0,0,0,0,0
CA1HA_87,361.28139999999996,721,0,0,0,0,0
CA1HA_87,361.31640000000004,722,0,0,0,0,0
CA1HA_87,361.3864,723,0,0,0,0,0
CA1HA_87,361.45140000000004,724,0,0,0,0,0
CA1HA_87,361.4814,725,0,0,0,0,0
CA1HA_87,361.5114,726,0,0,0,0,0
CA1HA_87,361.5464,727,0,0,0,0,0
CA1HA_87,361.5964,728,0,0,0,0,0
CA1HA_87,361.66139999999996,729,0,0,0,0,0
CA1HA_87,361.7114,730,0,0,0,0,0
CA1HA_87,361.7564,731,0,0,0,0,0
CA1HA_87,361.8364,732,0,0,0,0,0
CA1HA_87,361.9364,733,0,0,0,0,0
CA1HA_87,362.14639999999997,734,0,0,0,0,0
CA1HA_87,363.3248,735,0,0,0,0,0
CA1HA_87,363.38480000000004,736,0,0,0,0,0
CA1HA_87,363.4298,737,0,0,0,0,0
CA1HA_87,363.4598,738,0,0,0,0,0
CA1HA_87,363.4898,739,0,0,0,0,0
CA1HA_87,363.51980000000003,740,0,0,0,0,0
CA1HA_87,363.5698,741,0,0,0,0,0
CA1HA_87,363.62980000000005,742,0,0,0,0,0
CA1HA_87,363.6848,743,0,0,0,0,0
CA1HA_87,363.7398,744,0,0,0,0,0
CA1HA_87,363.7798,745,0,0,0,0,0
CA1HA_87,363.8148,746,0,0,0,0,0
CA1HA_87,363.84979999999996,747,0,0,0,0,0
CA1HA_87,363.88980000000004,748,0,0,0,0,0
CA1HA_87,363.9348,749,0,0,0,0,0
CA1HA_87,363.97479999999996,750,0,0,0,0,0
CA1HA_87,364.0348,751,0,0,0,0,0
CA1HA_87,364.08979999999997,752,0,0,0,0,0
CA1HA_87,364.13480000000004,753,0,0,0,0,0
CA1HA_87,364.1798,754,0,0,0,0,0
CA1HA_87,364.21479999999997,755,0,0,0,0,0
CA1HA_87,364.2498,756,0,0,0,0,0
CA1HA_87,364.2798,757,0,0,0,0,0
CA1HA_87,364.3148,758,0,0,0,0,0
CA1HA_87,364.3948,759,0,0,0,0,0
CA1HA_87,364.4948,760,0,0,0,0,0
CA1HA_87,364.5698,761,0,0,0,0,0
CA1HA_87,364.6648,762,0,0,0,0,0
CA1HA_87,364.7998,763,0,0,0,0,0
CA1HA_87,364.8798,764,0,0,0,0,0
CA1HA_87,365.1592,765,0,0,0,0,0
CA1HA_87,365.1992,766,0,0,0,0,0
CA1HA_87,365.2342,767,0,0,0,0,0
CA1HA_87,365.2792,768,0,0,0,0,0
CA1HA_87,365.3342,769,0,0,0,0,0
CA1HA_87,365.3742,770,0,0,0,0,0
CA1HA_87,365.4092,771,0,0,0,0,0
CA1HA_87,365.4442,772,0,0,0,0,0
CA1HA_87,365.4742,773,0,0,0,0,0
CA1HA_87,365.5542,774,0,0,0,0,0
CA1HA_87,365.6592,775,0,0,0,0,0
CA1HA_87,366.1281,776,0,0,0,0,0
CA1HA_87,366.1731,777,0,0,0,0,0
CA1HA_87,366.2081,778,0,0,0,0,0
