"full","file","name","dur"
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2HC_87.mp3","CC2HC_87.mp3","CC2HC_87",1832.83
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2HD_87.mp3","CC2HD_87.mp3","CC2HD_87",1857.85
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2HE_08.mp3","CC2HE_08.mp3","CC2HE_08",2899.69
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2MA_04.mp3","CC2MA_04.mp3","CC2MA_04",4429.26
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2MA_87.mp3","CC2MA_87.mp3","CC2MA_87",1890.77
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2MB_04.mp3","CC2MB_04.mp3","CC2MB_04",2769.87
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC2MD_87.mp3","CC2MD_87.mp3","CC2MD_87",1857.15
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3HC_09.mp3","CC3HC_09.mp3","CC3HC_09",2721.78
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3HC_87.mp3","CC3HC_87.mp3","CC3HC_87",1863.55
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3HD_09.mp3","CC3HD_09.mp3","CC3HD_09",2810.45
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3HD_87.mp3","CC3HD_87.mp3","CC3HD_87",1835.39
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3MA_04.mp3","CC3MA_04.mp3","CC3MA_04",3501.4
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3MB_87.mp3","CC3MB_87.mp3","CC3MB_87",1816.92
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3MD_08.mp3","CC3MD_08.mp3","CC3MD_08",2898.94
"/Users/calejohnstone/Documents/wk/ESP/2024/CCS/CCSFiles/data/OneDrive_1_27-05-2024/allfiles/CC3MD_87.mp3","CC3MD_87.mp3","CC3MD_87",1886.69
